branch_ch,n_bcp,tt,ch_in_tt,module,type,iphi,ieta,high_over_low_gain_ratio,intercalib_factor
110,0,4,11,1,ecal,6,18,8.0884,1
111,0,4,12,1,ecal,7,18,7.9998,1
112,0,4,13,1,ecal,8,18,8.1129,1
113,0,4,14,1,ecal,9,18,8.1227,1
114,0,4,15,1,ecal,10,18,8.9447,1
115,0,4,16,1,ecal,10,19,8.3591,1
116,0,4,17,1,ecal,9,19,8.3864,1
117,0,4,18,1,ecal,8,19,8.5119,1
118,0,4,19,1,ecal,7,19,8.4644,1
119,0,4,20,1,ecal,6,19,8.4065,1
120,0,4,21,1,ecal,6,20,8.3317,1
121,0,4,22,1,ecal,7,20,7.939,1
122,0,4,23,1,ecal,8,20,8.3878,1
123,0,4,24,1,ecal,9,20,8.0324,1
124,0,4,25,1,ecal,10,20,8.0881,1
125,0,5,1,1,ecal,1,21,8.2156,1
126,0,5,2,1,ecal,2,21,8.3606,1
127,0,5,3,1,ecal,3,21,8.1444,1
128,0,5,4,1,ecal,4,21,9.0692,1
129,0,5,5,1,ecal,5,21,8.4363,1
130,0,5,6,1,ecal,5,22,8.4451,1
131,0,5,7,1,ecal,4,22,8.2081,1
132,0,5,8,1,ecal,3,22,8.4619,1
133,0,5,9,1,ecal,2,22,8.4572,1
134,0,5,10,1,ecal,1,22,8.6864,1
135,0,5,11,1,ecal,1,23,8.4819,1
136,0,5,12,1,ecal,2,23,8.1505,1
137,0,5,13,1,ecal,3,23,8.8515,1
138,0,5,14,1,ecal,4,23,8.3546,1
139,0,5,15,1,ecal,5,23,8.2889,1
140,0,5,16,1,ecal,5,24,8.4397,1
141,0,5,17,1,ecal,4,24,8.4654,1
142,0,5,18,1,ecal,3,24,8.4479,1
143,0,5,19,1,ecal,2,24,9.5719,1
144,0,5,20,1,ecal,1,24,8.7589,1
145,0,5,21,1,ecal,1,25,8.6924,1
146,0,5,22,1,ecal,2,25,8.2395,1
147,0,5,23,1,ecal,3,25,8.6864,1
148,0,5,24,1,ecal,4,25,8.3898,1
149,0,5,25,1,ecal,5,25,8.7785,1
150,0,6,1,1,ecal,5,10,8.6171,1
151,0,6,2,1,ecal,4,10,8.5788,1
152,0,6,3,1,ecal,3,10,8.91,1
153,0,6,4,1,ecal,2,10,8.6332,1
154,0,6,5,1,ecal,1,10,8.5746,1
155,0,6,6,1,ecal,1,9,8.6474,1
156,0,6,7,1,ecal,2,9,8.4807,1
157,0,6,8,1,ecal,3,9,8.5568,1
158,0,6,9,1,ecal,4,9,8.4499,1
159,0,6,10,1,ecal,5,9,8.2124,1
160,0,6,11,1,ecal,5,8,9.0756,1
161,0,6,12,1,ecal,4,8,9.4055,1
162,0,6,13,1,ecal,3,8,8.6591,1
163,0,6,14,1,ecal,2,8,8.7477,1
164,0,6,15,1,ecal,1,8,8.9897,1
165,0,6,16,1,ecal,1,7,9.1276,1
166,0,6,17,1,ecal,2,7,8.9821,1
167,0,6,18,1,ecal,3,7,8.7166,1
168,0,6,19,1,ecal,4,7,8.617,1
169,0,6,20,1,ecal,5,7,8.7182,1
170,0,6,21,1,ecal,5,6,8.5742,1
171,0,6,22,1,ecal,4,6,9.0585,1
172,0,6,23,1,ecal,3,6,8.7482,1
173,0,6,24,1,ecal,2,6,8.4406,1
174,0,6,25,1,ecal,1,6,8.4873,1
175,0,7,1,1,ecal,10,10,8.9194,1
176,0,7,2,1,ecal,9,10,8.37,1
177,0,7,3,1,ecal,8,10,9.0264,1
178,0,7,4,1,ecal,7,10,8.3864,1
179,0,7,5,1,ecal,6,10,8.3343,1
180,0,7,6,1,ecal,6,9,8.5769,1
181,0,7,7,1,ecal,7,9,8.4543,1
182,0,7,8,1,ecal,8,9,8.4057,1
183,0,7,9,1,ecal,9,9,8.4674,1
184,0,7,10,1,ecal,10,9,8.3577,1
185,0,7,11,1,ecal,10,8,8.6835,1
186,0,7,12,1,ecal,9,8,8.606,1
187,0,7,13,1,ecal,8,8,8.8308,1
188,0,7,14,1,ecal,7,8,9.035,1
189,0,7,15,1,ecal,6,8,8.2824,1
190,0,7,16,1,ecal,6,7,8.616,1
191,0,7,17,1,ecal,7,7,8.4105,1
192,0,7,18,1,ecal,8,7,9.3506,1
193,0,7,19,1,ecal,9,7,9.1974,1
194,0,7,20,1,ecal,10,7,8.4029,1
195,0,7,21,1,ecal,10,6,8.3685,1
196,0,7,22,1,ecal,9,6,8.3569,1
197,0,7,23,1,ecal,8,6,3.8687,1
198,0,7,24,1,ecal,7,6,8.4011,1
199,0,7,25,1,ecal,6,6,8.7926,1
200,0,8,1,1,ecal,10,15,8.273,1
201,0,8,2,1,ecal,9,15,8.5972,1
202,0,8,3,1,ecal,8,15,8.7377,1
203,0,8,4,1,ecal,7,15,8.6504,1
204,0,8,5,1,ecal,6,15,8.3626,1
205,0,8,6,1,ecal,6,14,8.3362,1
206,0,8,7,1,ecal,7,14,8.6705,1
207,0,8,8,1,ecal,8,14,8.7279,1
208,0,8,9,1,ecal,9,14,8.439,1
209,0,8,10,1,ecal,10,14,8.6583,1
